,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
1998-02-01,8454.8528824,8453.2416275,8412.996584,4794.0055991,4793.3545916,4781.529814,3660.8472832,3659.887036,3631.46677,6292.8837227,6289.2736866,6301.092896,4217.2030743,4213.4103396,4225.081788,2075.6806484,2075.863347,2076.011108,2161.9691596,2163.967941,2111.903688,576.8025248,579.944252,556.448026,1585.1666349,1584.023689,1555.455662,58.000332,57.9817656,57.7057202,66.9651329,66.9461155,66.7809654,49.3491755,49.3304803,48.9474124,719.7587826,712.4246239,794.682036,423.749222,418.5279278,455.3306367,296.0095606,293.896696,339.3513993,579.2490174,572.4298317,634.054726,370.9066656,364.0552227,395.5378063,208.3423518,208.374609,238.5169197,140.5097652,139.9947922,160.62731,52.8425564,54.4727052,59.7928304,87.6672088,85.5220871,100.8344796,7.8451144,7.7727533,8.6306448,8.1212942,8.030264,8.6947254,7.4809267,7.4333023,8.5461329,8.4289556,8.3423866,9.1426277,8.0840844,7.9532051,8.5602764,9.1217274,9.1222812,10.3052077,6.1025429,6.0762611,7.0682121,8.3924354,8.5862625,9.7028345,5.2406406,5.1224763,6.087972,9174.6116649,9165.6662514,9207.67862,5217.7548211,5211.8825194,5236.860451,3956.8568438,3953.783732,3970.818169,62.9378808,62.8683688,63.1565366,72.8842797,72.7914621,73.140315,53.3394615,53.2918225,53.5214244,5371.45938,1923.158549,3448.300831,14579.138,7160.019,7419.119
1998-03-01,8464.9809526,8456.3032215,8459.959189,4796.1746034,4791.6217707,4791.462444,3668.8063492,3664.6814508,3668.496745,6295.5819907,6295.3046949,6275.943585,4217.8956552,4216.7926354,4207.484337,2077.6863355,2078.5120594,2068.459249,2169.3989619,2160.9985266,2184.015603,578.2789482,574.8291352,583.9781068,1591.1200137,1586.1693914,1600.037497,58.0032909,57.9212855,57.946327,66.9193042,66.8267423,66.8245203,49.3996446,49.3265426,49.3778964,718.9053048,723.726628,757.876651,423.7024383,426.7560746,437.6005605,295.2028665,296.9705534,320.2760904,580.6227563,590.3762792,604.8155125,372.4674135,376.641807,380.6784934,208.1553428,213.7344722,224.1370191,138.2825485,133.3503488,153.0611385,51.2350248,50.1142675,56.9220672,87.0475237,83.2360812,96.1390713,7.8278986,7.8837067,8.2218502,8.1170961,8.1779451,8.3686228,7.4470782,7.4961292,8.0294392,8.4439422,8.5739708,8.7899533,8.1141166,8.1995686,8.29697,9.1062887,9.3242358,9.7765587,5.9922718,5.8121217,6.549256,8.1388225,8.019009,8.8815809,5.187058,4.9859715,5.6679872,9183.8862575,9180.0298495,9217.83584,5219.8770417,5218.3778452,5229.063004,3964.0092157,3961.6520042,3988.772836,62.9293355,62.8784371,63.1373885,72.8310724,72.7785306,72.927552,53.3744841,53.3237607,53.6888065,5381.81116,1941.152996,3440.658164,14599.647,7170.216,7429.431
1998-04-01,8477.453206,8488.6765484,8499.940711,4797.5223879,4804.0664028,4810.718745,3679.930818,3684.6101456,3689.221966,6299.5824428,6313.1932842,6292.742611,4217.9486941,4225.7948574,4218.929984,2081.6337487,2087.3984268,2073.812628,2177.8707632,2175.4832642,2207.198099,579.5736939,578.2715454,591.7887615,1598.2970693,1597.2117188,1615.409338,58.0277114,58.097653,58.1747465,66.8685594,66.9504132,67.0431216,49.4970551,49.5543689,49.6163934,718.7113985,698.5932637,702.9068089,424.0037011,401.7039512,400.0853028,294.7076974,296.8893125,302.8215061,582.4932683,558.0219726,556.0290398,374.2873369,353.553831,349.9364731,208.2059314,204.4681417,206.0925667,136.2181302,140.5712911,146.8777691,49.7163642,48.1501203,50.1488297,86.501766,92.4211708,96.7289394,7.8153386,7.6039267,7.6379274,8.1203023,7.7165131,7.6779955,7.4147044,7.4567212,7.5856265,8.4639183,8.121154,8.1186681,8.1504377,7.7206139,7.659153,9.0925986,8.921468,9.0395235,5.8864692,6.0694292,6.2392963,7.9003893,7.686535,7.8121036,5.1342489,5.4698965,5.6495986,9196.1646044,9187.2698122,9202.84752,5221.526089,5205.7703541,5210.804048,3974.6385154,3981.4994581,3992.043472,62.9472523,62.87892,62.9855359,72.7783841,72.5486384,72.618789,53.4610326,53.5472371,53.6890437,5408.20148,1964.754952,3443.446528,14611.049,7175.559,7435.49
1998-05-01,8492.2940335,8486.6814207,8482.540018,4799.3200083,4800.9559603,4795.107887,3692.9740252,3685.7254604,3687.432132,6305.7206471,6281.0864935,6248.342957,4218.3111804,4210.7558693,4196.929084,2087.4094667,2070.3306242,2051.413873,2186.5733865,2205.5949271,2234.197061,581.0088279,590.2000909,598.1788021,1605.5645586,1615.3948362,1636.018259,58.0734819,58.0386946,58.0103724,66.8307963,66.8572363,66.7757971,49.623928,49.5290221,49.5519565,718.4747937,714.4858765,711.1953804,423.8744096,421.7543554,419.1892049,294.6003841,292.7315211,292.0061754,583.5731198,584.2225448,580.1696427,375.3876576,372.1561306,369.698617,208.1854622,212.0664142,210.4710256,134.9016739,130.2633317,131.0257377,48.486752,49.5982248,49.4905879,86.4149219,80.6651069,81.5351498,7.8003781,7.7651656,7.735652,8.1152332,8.0753925,8.0392275,7.3879595,7.357916,7.3378742,8.4707249,8.5097778,8.4962814,8.1717951,8.1205166,8.0956592,9.0689111,9.2913902,9.3051165,5.8110327,5.5766796,5.5396785,7.702477,7.7521656,7.641335,5.1073268,4.7560292,4.7471682,9210.7688272,9201.1672972,9193.735399,5223.1944179,5222.7103157,5214.297091,3987.5744093,3978.4569815,3979.438307,62.9866812,62.9249187,62.8740935,72.7332709,72.7305104,72.6133494,53.582588,53.4627676,53.4759548,5428.718601,1966.609909,3462.108693,14622.454,7180.907,7441.547
1998-06-01,8508.9175339,8506.6417577,8516.778015,4802.7184645,4801.9691912,4801.824827,3706.1990694,3704.6725666,3714.953187,6313.9619262,6303.8617906,6268.879289,4219.959981,4216.9714888,4200.935311,2094.0019451,2086.8903018,2067.943978,2194.9556077,2202.7799671,2247.898726,582.7584834,584.9977023,600.8895162,1612.1971242,1617.7822648,1647.009209,58.1340586,58.129872,58.1991378,66.8191712,66.821525,66.8195161,49.7546629,49.7432066,49.8812461,717.4734786,722.8880825,702.7840789,422.9872647,430.2023729,419.9072739,294.4862139,292.6857096,282.8768051,582.6659641,583.8146132,571.2442311,375.0467387,381.7980245,375.8015885,207.6192253,202.0165887,195.4426425,134.8075145,139.0734693,131.5398479,47.940526,48.4043484,44.1056853,86.8669885,90.6691209,87.4341626,7.7763177,7.8323392,7.622749,8.0943568,8.2222528,8.0415323,7.3608943,7.3219784,7.0757587,8.4485632,8.4762201,8.351373,8.1620498,8.3021779,8.211125,9.0205646,8.8258981,8.634965,5.7863185,5.9386069,5.5281884,7.6011735,7.6419627,6.8381416,5.1126375,5.307094,5.0410503,9226.3910124,9229.5298402,9219.562093,5225.7057292,5232.171564,5221.732101,4000.6852832,3997.3582762,3997.829992,63.0359331,63.0697052,63.0015909,72.7041004,72.8079813,72.6627115,53.7080561,53.6731425,53.6794763,5414.293906,1964.528899,3449.765008,14633.856,7186.261,7447.595
1998-07-01,8525.4777592,8518.9167708,8541.872332,4807.7703781,4796.2425006,4811.028952,3717.7073811,3722.6742702,3730.843379,6322.6544416,6329.8329305,6365.220982,4222.5538534,4216.8522168,4234.750438,2100.1005882,2112.9807137,2130.470544,2202.8233176,2189.0838403,2176.65135,585.2165247,579.3902837,576.2785139,1617.6067929,1609.6935565,1600.372836,58.1938055,58.1525717,58.3092729,66.8308202,66.6745418,66.8800944,49.8612904,49.9303257,50.0398938,714.614995,738.2630231,686.71768,420.8912814,439.9721459,412.6331136,293.7237136,298.2908772,274.0845664,578.9146964,602.7918184,564.628546,372.8550421,393.6248868,371.8021869,206.0596543,209.1669316,192.8263592,135.7002986,135.4712047,122.0891339,48.0362393,46.3472591,40.8309268,87.6640593,89.1239456,81.2582072,7.7338509,7.9750317,7.4411983,8.0496943,8.4024849,7.8993072,7.3221677,7.41839,6.8436828,8.3881605,8.6950014,8.147775,8.1136423,8.5376172,8.071159,8.9351837,9.0074777,8.2996865,5.8028193,5.8278338,5.3111317,7.5856344,7.4068209,6.6164807,5.1407704,5.2462342,4.8321068,9240.0927542,9257.1797939,9228.590012,5228.6616596,5236.2146464,5223.662066,4011.4310947,4020.9651475,4004.927946,63.0716748,63.192167,62.997005,72.6814552,72.7907758,72.6162772,53.8006653,53.9311487,53.7160499,5420.661988,1969.851934,3450.810054,14649.252,7193.514,7455.738
1998-08-01,8541.5906075,8531.177687,8455.233464,4814.5040114,4797.1415919,4757.034443,3727.086596,3734.0360951,3698.199022,6331.0837954,6336.6573306,6257.023574,4225.4341701,4223.9017261,4178.624438,2105.6496254,2112.7556045,2078.399137,2210.506812,2194.5203564,2198.20989,589.0698414,573.2398658,578.4100051,1621.4369707,1621.2804906,1619.799885,58.2478821,58.1751355,57.6572627,66.8634154,66.6196014,66.0626192,49.9365952,50.0282843,49.5481423,709.2967732,717.2685121,690.2203426,417.4080756,430.8255623,416.6618931,291.8886976,286.4429498,273.5584495,572.4004511,574.3889255,556.2040241,368.8869181,371.969599,363.9810521,203.513533,202.4193265,192.222972,136.8963221,142.8795865,134.0163185,48.5211575,58.8559633,52.680841,88.3751646,84.0236233,81.3354775,7.6673377,7.755557,7.5471415,7.9781172,8.2407856,8.0534663,7.2627642,7.1245975,6.887592,8.2914718,8.3111718,8.1635908,8.0291932,8.0935599,8.0126054,8.8133024,8.7431547,8.4656523,5.8318199,6.1127573,5.746283,7.6100757,9.3112406,8.3475844,5.1687061,4.9271929,4.7812466,9250.8873807,9248.4461991,9145.453807,5231.912087,5227.9671542,5173.696336,4018.9752937,4020.4790449,3971.757471,63.0848073,63.0662765,62.3639589,72.6603426,72.6026283,71.8489503,53.8474053,53.8660215,53.2132542,5519.192193,2027.099664,3492.092529,14664.646,7200.796,7463.85
1998-09-01,8556.3163786,8575.0110574,8653.182243,4822.0869116,4842.0152557,4867.28625,3734.229467,3732.9958017,3785.895993,6338.4643394,6356.9975918,6381.366214,4227.8064084,4247.4494488,4260.574268,2110.657931,2109.5481431,2120.791946,2217.8520391,2218.0134655,2271.81603,594.2805032,594.5658069,606.7119823,1623.571536,1623.4476586,1665.104047,58.2893198,58.4127147,58.9452145,66.9046239,67.175125,67.5257192,49.9788728,49.959834,50.6678136,701.7136355,708.722619,716.0703934,412.8595254,413.5219506,418.9755448,288.85411,295.2006685,297.0948486,563.9102801,570.6368823,568.8957837,363.7675569,365.4327713,366.864865,200.1427232,205.204111,202.0309187,137.8033553,138.0857367,147.1746097,49.0919685,48.0891792,52.1106798,88.7113868,89.9965575,95.06393,7.5795135,7.6340257,7.6427696,7.8866046,7.8683098,7.9257434,7.1799182,7.3283583,7.2764025,8.1698011,8.2371101,8.1852423,7.9225024,7.9220052,7.9280322,8.6611852,8.8650572,8.6976464,5.8498945,5.8607777,6.0841331,7.6304117,7.4828921,7.9096672,5.1808837,5.2523774,5.4008442,9258.030014,9283.7336764,9369.252636,5234.946437,5255.5372063,5286.261795,4023.083577,4028.1964701,4082.990842,63.0696959,63.2405117,63.8230642,72.632893,72.9120728,73.3383268,53.844892,53.9105956,54.6439256,5310.789363,1921.786205,3389.003158,14680.042,7208.048,7471.994
1998-10-01,8568.5472724,8585.4502814,8601.021357,4829.6894027,4837.7365881,4848.328184,3738.8578697,3747.7136934,3752.693173,6344.2276801,6351.7473712,6360.720387,4229.7487876,4241.045316,4246.763849,2114.4788925,2110.7020552,2113.956539,2224.3195923,2233.7029102,2240.30097,599.9406151,596.691272,601.564335,1624.3789772,1637.0116382,1638.736635,58.3100888,58.4226857,58.5286446,66.9420305,67.0502969,67.1970949,49.9843314,50.1009876,50.1675553,692.803454,677.4721648,640.4187194,407.454781,396.3993765,373.8797056,285.3486731,281.0727883,266.5390138,554.164537,535.9432342,504.535653,357.898391,346.2232915,326.9274952,196.266146,189.7199427,177.6081577,138.638917,141.5289306,135.8830664,49.55639,50.1760851,46.9522104,89.0825271,91.3528456,88.930856,7.4805876,7.3138059,6.9298585,7.7800948,7.5733489,7.1594183,7.0908059,6.9766117,6.6315903,8.0332419,7.7811746,7.3491163,7.8013495,7.5474824,7.1480008,8.4936305,8.24718,7.750519,5.8671753,5.9585312,5.7185413,7.6299644,7.7567811,7.2399402,5.1989804,5.2855081,5.1474521,9261.3507264,9262.9224463,9241.440076,5237.1441836,5234.1359646,5222.207889,4024.2065428,4028.7864817,4019.232187,63.0247072,63.032781,62.8865967,72.5895677,72.5443323,72.379011,53.7991227,53.8584849,53.7307592,5453.964924,1992.878111,3461.086813,14695.405,7215.086,7480.319
1998-11-01,8578.0865962,8564.6691267,8554.294864,4836.6188454,4837.1924289,4822.150785,3741.4677508,3727.4766978,3732.144079,6348.5140413,6328.8806044,6324.070326,4231.5237867,4227.4178466,4223.497771,2116.9902545,2101.4627578,2100.572555,2229.572555,2235.7885223,2230.224538,605.0950587,609.7745823,598.6530141,1624.4774963,1626.01394,1631.571524,58.308525,58.2203801,58.1498586,66.9651607,66.9773751,66.7691035,49.9597008,49.7750421,49.8373682,683.3728891,707.1009919,665.3496727,401.382592,410.5058206,389.1073916,281.990297,296.5951713,276.2422811,543.9380831,552.5353587,525.6763511,351.5199411,357.2334055,342.250814,192.418142,195.3019532,183.4255371,139.434806,154.5656331,139.6733216,49.862651,53.2724151,46.8565776,89.572155,101.2932181,92.816744,7.3786738,7.6263861,7.2166521,7.6628958,7.8225881,7.4666689,7.0086551,7.3705237,6.8916082,7.8917934,8.0293847,7.6743911,7.6700106,7.7919429,7.4960504,8.3319235,8.5033505,8.0308971,5.8857903,6.4662231,5.8936431,7.61311,8.0344855,7.2588507,5.225762,5.8642273,5.3825896,9261.4594853,9271.7701185,9219.644537,5238.0014375,5247.6982495,5211.258177,4023.4580478,4024.071869,4008.38636,62.9536711,63.0270677,62.6727316,72.522483,72.6613752,72.1568138,53.7251084,53.7356402,53.526183,5491.130463,2010.870823,3480.25964,14710.775,7222.129,7488.646
1998-12-01,8585.1987338,8586.0287849,8696.544725,4842.7654073,4832.5454252,4892.957184,3742.4333265,3753.4833597,3803.587542,6351.8606562,6347.5373423,6460.381536,4233.9863557,4219.015375,4284.299885,2117.8743005,2128.5219673,2176.081651,2233.3380775,2238.4914426,2236.16319,608.7790516,613.5300502,608.6572988,1624.559026,1624.9613924,1627.505891,58.2865078,58.3046878,59.0551625,66.9721995,66.8478413,67.6835077,49.9103714,50.0666984,50.7350246,674.538113,664.5633905,659.091475,395.3125866,391.6012121,387.2899901,279.2255264,272.9621785,271.8014849,534.1258887,529.2857643,525.3095575,345.200078,343.2598697,337.0631633,188.9258107,186.0258946,188.2463943,140.4122243,135.2776262,133.7819174,50.1125086,48.3413424,50.2268268,90.2997157,86.9362839,83.5550907,7.2846359,7.1840092,7.04486,7.5469015,7.4959843,7.3346943,6.9430436,6.7792343,6.6693384,7.7567083,7.696661,7.5197937,7.5384587,7.5238746,7.2935876,8.1899515,8.0372455,7.9619406,5.9152062,5.6988537,5.6449374,7.6055776,7.3037365,7.6230136,5.2657233,5.0783575,4.8832328,9259.7368468,9250.5921755,9355.6362,5238.0779939,5224.1466373,5280.247174,4021.6588529,4026.4455382,4075.389027,62.8660723,62.817503,63.5308198,72.4391076,72.2647993,73.0408292,53.6342186,53.7076671,54.360511,5370.5018,1948.924826,3421.576973,14726.138,7229.172,7496.966
1999-01-01,8591.2247828,8586.544329,8477.42116,4848.6413713,4846.4762166,4819.763737,3742.5834115,3740.0681124,3657.657424,6355.8830964,6364.5732052,6373.096415,4238.1779071,4236.2131338,4237.861171,2117.7051893,2128.3600714,2135.235244,2235.3416864,2221.9711238,2104.324745,610.4634642,610.2630828,581.9025653,1624.8782222,1611.708041,1522.42218,58.2548171,58.2270843,57.4870982,66.9719506,66.9472976,66.578302,49.8489033,49.8183609,48.7206362,666.8535075,658.1204254,702.5281191,389.5657663,381.7173682,415.4453431,277.2877411,276.4030571,287.082776,524.9941898,525.1828597,570.8151952,339.08265,336.92209,367.2889769,185.9115398,188.2607697,203.5262184,141.8593177,132.9375657,131.7129239,50.4831163,44.7952782,48.1563663,91.3762014,88.1422874,83.5565576,7.2029366,7.1189215,7.652854,7.4370058,7.301133,7.9356017,6.8979261,6.8817389,7.2776092,7.6297566,7.6226626,8.2203695,7.4079823,7.3674202,7.9756135,8.0704198,8.1265249,8.7023077,5.9674936,5.6451261,5.8904609,7.6380025,6.8383645,7.6431527,5.3241641,5.185297,5.2028433,9258.0782902,9244.6647543,9179.949279,5238.2071376,5228.1935848,5235.20908,4019.8711526,4016.4711695,3944.7402,62.7765739,62.6899313,62.2510827,72.3528352,72.2201897,72.317099,53.5422051,53.500098,52.5446289,5566.700721,2004.03192,3562.6688,14746.65,7239.241,7507.409
1999-02-01,8597.9530285,8594.249571,8556.474181,4854.7994091,4856.0596242,4845.409717,3743.1536193,3738.1899468,3711.064464,6361.2280188,6361.6904693,6377.318526,4244.0999208,4249.3722186,4262.799164,2117.128098,2112.3182507,2114.519362,2236.7250096,2232.5591016,2179.155655,610.6994883,606.6874056,582.6105527,1626.0255214,1625.871696,1596.545103,58.2284253,58.1983795,57.9425729,66.9754367,66.9865727,66.8396633,49.7940117,49.7241229,49.363309,659.6077249,658.3614362,735.7690122,383.9218776,383.9202472,418.5843148,275.6858473,274.441189,317.1846973,516.2419782,512.7410287,568.4922358,332.8647514,333.2187384,363.0434343,183.3772268,179.5222903,205.4488016,143.3657466,145.6204075,167.2767763,51.0571262,50.7015088,55.5408805,92.3086205,94.9188987,111.7358958,7.1250704,7.1154125,7.918099,7.3285418,7.3267504,7.9518387,6.8598373,6.8394323,7.8740089,7.5062774,7.4586681,8.1846779,7.2726091,7.2714048,7.848158,7.9711716,7.8331056,8.8556733,6.0235412,6.1231882,7.1289833,7.7153934,7.7125591,8.7034014,5.3719831,5.5160052,6.5408382,9257.5607533,9252.6110071,9292.243194,5238.7212867,5239.9798714,5263.994032,4018.8394666,4012.6311357,4028.249162,62.6955257,62.6566593,62.9250398,72.2719142,72.2825335,72.6137952,53.461375,53.3746457,53.5823913,5474.919806,1985.308968,3489.610838,14767.163,7249.303,7517.86
1999-03-01,8607.0937159,8620.9718,8618.891695,4861.9326259,4880.2807155,4879.024188,3745.16109,3740.6910846,3739.867507,6368.3969457,6379.6744679,6358.397205,4251.7157389,4270.9276508,4261.028229,2116.6812068,2108.7468171,2097.368976,2238.6967702,2241.2973321,2260.49449,610.2168869,609.3530646,617.9959585,1628.4798833,1631.9442674,1642.498531,58.2217927,58.2983586,58.2842921,66.9960002,67.2272849,67.2099759,49.7614078,49.6883903,49.6774505,652.3182154,650.1764585,683.5448656,378.473432,371.529795,381.3512961,273.8447834,278.6466635,302.1935696,507.5594342,500.196563,512.2945947,326.7050163,318.0726447,320.9485169,180.8544178,182.1239183,191.3460778,144.7587812,149.9798955,171.250271,51.7684157,53.4571503,60.4027792,92.9903655,96.5227452,110.8474918,7.0449206,7.0129011,7.3480196,7.2222158,7.0743184,7.2495071,6.8137443,6.9326511,7.4762247,7.3816558,7.2704352,7.4562302,7.1357578,6.9311969,7.0045863,7.8716698,7.9499867,8.360415,6.0734836,6.2719577,7.0422798,7.820176,8.0652273,8.9037281,5.4017992,5.5842978,6.3220545,9259.4119313,9271.1482586,9302.43656,5240.4060579,5251.8105105,5260.375484,4019.0058734,4019.3377481,4042.061077,62.6343316,62.6951043,62.9066879,72.2112526,72.3452158,72.4632008,53.3999434,53.3897128,53.6915516,5485.23844,1998.999516,3486.238923,14787.675,7259.375,7528.3
1999-04-01,8618.9173708,8622.7750605,8631.905028,4869.9602518,4870.9505174,4876.3132,3748.957119,3751.824543,3755.591828,6377.8493131,6381.0146888,6356.554938,4260.9848252,4262.1196401,4253.092668,2116.8644879,2118.8950488,2103.46227,2241.0680577,2241.7603716,2275.35009,608.9754266,608.8308774,623.2205321,1632.0926312,1632.9294943,1652.129558,58.2381721,58.2594507,58.321137,67.0345952,67.0422574,67.1160677,49.7566602,49.7909537,49.8409499,645.728726,647.0006217,652.7793847,373.8805165,374.8377188,375.0370229,271.8482096,272.1629029,277.7423618,499.5794793,504.6869852,503.6718783,321.3157893,323.5437674,321.1242663,178.26369,181.1432178,182.547612,146.1492468,142.3136365,149.1075064,52.5647272,51.2939514,53.9127566,93.5845196,91.0196851,95.1947498,6.9698154,6.9796794,7.0307116,7.1298984,7.1454985,7.1417256,6.7610388,6.7635127,6.8861728,7.2640444,7.3294925,7.3419129,7.0121063,7.0555498,7.0203113,7.7670472,7.875661,7.9854253,6.1221593,5.9693464,6.1501388,7.9458105,7.7703412,7.961912,5.4230607,5.2797197,5.4480298,9264.6460969,9269.7756822,9284.684413,5243.8407683,5245.7882362,5251.350223,4020.8053286,4023.9874459,4033.33419,62.6013722,62.6308857,62.731616,72.1810292,72.2014079,72.2779614,53.3646659,53.4028632,53.526905,5515.961587,2014.142777,3501.81881,14800.646,7265.493,7535.153
1999-05-01,8633.6176572,8610.7246602,8606.520123,4878.1253748,4861.5860778,4856.174321,3755.4922824,3749.1385824,3750.345801,6389.8546725,6361.3723899,6327.783138,4270.9685573,4251.6489774,4237.588769,2118.8861152,2109.7234125,2090.194369,2243.7629847,2249.3522703,2278.736985,607.1568174,609.9371004,618.5855525,1636.6061673,1639.4151699,1660.151432,58.2782064,58.127099,58.0987161,67.080328,66.8572082,66.782785,49.7915952,49.7100124,49.726019,640.7886848,650.6329298,649.0186814,370.8166091,378.3671226,375.8515821,269.9720757,272.2658072,273.1670993,493.3983465,496.9766387,493.5694644,317.3965478,321.2021619,318.648958,176.0017986,175.7744768,174.9205064,147.3903383,153.6562911,155.4492169,53.4200613,57.1649607,57.2026241,93.970277,96.4913304,98.2465929,6.9092151,7.0252436,7.0122193,7.0645972,7.2208111,7.183672,6.706607,6.770416,6.7892686,7.1680984,7.2463014,7.2356539,6.9174214,7.0241115,6.993686,7.6692983,7.6908615,7.722368,6.1639853,6.3943297,6.3860857,8.0868803,8.5691477,8.464579,5.4299986,5.5585557,5.5872784,9274.406342,9261.3575901,9255.538804,5248.9419839,5239.9532004,5232.025903,4025.4643581,4021.4043897,4023.512901,62.6036256,62.519227,62.479947,72.1795204,72.0605655,71.9515482,53.3709769,53.3199981,53.347955,5558.076196,2039.570097,3518.506099,14813.615,7271.596,7542.019
1999-06-01,8650.5476687,8661.957711,8673.209473,4885.7344546,4895.6852819,4897.753551,3764.8132141,3766.2724291,3775.455922,6403.9983601,6404.5976226,6368.188704,4280.8783639,4272.5058883,4256.351609,2123.1199963,2132.0917344,2111.837095,2246.5493085,2257.3600884,2305.020769,604.8560908,623.1793936,641.401942,1641.6932178,1634.1806947,1663.618827,58.3350961,58.4217952,58.4976843,67.1209816,67.2695383,67.2979576,49.8646475,49.8918637,50.0135175,637.9405986,617.3845844,600.5734614,369.326173,356.926701,348.5769043,268.6144256,260.4578834,251.9965571,489.6856846,487.9399228,477.8439372,315.0843858,312.773664,308.2525705,174.6012988,175.1662588,169.5913667,148.254914,129.4446616,122.7295242,54.2417872,44.153037,40.3243339,94.0131268,85.2916246,82.4051904,6.8680778,6.6533227,6.4760354,7.0280097,6.7952231,6.6442041,6.6597061,6.4682227,6.2569716,7.1033961,7.0792494,6.9798665,6.8556775,6.8212562,6.7531063,7.5988894,7.5919667,7.4335606,6.1906904,5.4233452,5.0552779,8.2297014,6.6163482,5.915033,5.4164189,4.9603372,4.7195909,9288.4882672,9279.3422954,9273.782935,5255.0606276,5252.6119829,5246.330456,4033.4276396,4026.7303125,4027.452479,62.637058,62.5858326,62.5483367,72.1948421,72.173917,72.0876052,53.4224239,53.3421529,53.3517195,5552.803065,2031.384544,3521.418521,14826.586,7277.715,7548.871
